label,title,text,id
3,"In a Down Market, Head Toward Value Funds","There is little cause for celebration in the stock market these days, but investors in value-focused mutual funds have reason to feel a bit smug -- if only because they've lost less than the folks who stuck with growth.",18
3,US trade deficit swells in June,"The US trade deficit has exploded 19 to a record \$55.8bn as oil costs drove imports higher, according to a latest figures.",19
3,Shell 'could be target for Total',"Oil giant Shell could be bracing itself for a takeover attempt, possibly from French rival Total, a  press report claims.",20
3,Google IPO faces Playboy slip-up,"The bidding gets underway for Google's public offering, despite last-minute worries over an interview with its bosses in Playboy magazine.",21
3,Eurozone economy keeps growing,"Official figures show the 12-nation eurozone economy continues to grow, but there are warnings it may slow down later in the year.",22
3,Expansion slows in Japan,Economic growth in Japan slows down as the country experiences a drop in domestic and corporate spending.,23
3,Rand falls on shock SA rate cut,"Interest rates are trimmed to 7.5 by the South African central bank,  but the lack of warning hits the rand and surprises markets.",24
3,Car prices down across the board,"The cost of buying both new and second hand cars fell sharply over the past five years, a new survey has found.",25
3,South Korea lowers interest rates,South Korea's central bank cuts interest rates by a quarter percentage point to 3.5 in a bid to drive growth in the economy.,26
3,Google auction begins on Friday,"An auction of shares in Google, the web search engine which could be floated for as much as \$36bn, takes place on Friday.",27
3,HP shares tumble on profit news,"Hewlett-Packard shares fall after disappointing third-quarter profits, while the firm warns the final quarter will also fall short of expectations.",28
3,Mauritian textile firm cuts jobs,One of the oldest textile operators on the Indian Ocean island of Mauritius last week shut seven factories and cut 900 jobs.,29
3,Chad seeks refugee aid from IMF,"Chad asks the IMF for a loan to pay for looking after more than 100,000 refugees from conflict-torn Darfur in western Sudan.",30
3,Japan nuclear firm shuts plants,The company running the Japanese nuclear plant hit by a fatal accident is to close its reactors for safety checks.,31
3,Veteran inventor in market float,"Trevor Baylis, the veteran inventor famous for creating the Freeplay clockwork radio, is planning to float his company on the stock market.",32
3,Saudi Arabia to open up oil taps,"Saudi Arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices.",33
3,Saudi phone sector gets \$1bn lift,A group led by the UAE's Etisalat plans to spend \$1bn (544m) on expansion after winning two mobile phone licences in Saudi Arabia.,34
3,Indians fill rail skills shortage,Network Rail flies in specialist Indian engineers to work on the West Coast Mainline because of a UK skills shortage.,35
3,Steady as they go,BEDFORD -- Scientists at NitroMed Inc. hope their experimental drugs will cure heart disease someday. But lately their focus has been on more mundane matters.,36
3,"Google IPO: Type in 'confusing,' 'secrecy'",I've submitted my bid to buy shares of Google Inc. in the computer search company's giant auction-style initial public offering. That could turn out to be the good news or the bad news.,37
3,A bargain hunter's paradise,"Massachusetts bargain hunters showed up in droves and shopped hard on yesterday's sales tax holiday, buying everything from treadmills and snow blowers to candles and chandeliers, and crediting the 5-percent tax break with bringing them into the stores.",38
3,Researchers seek to untangle the e-mail thread,"E-mail is a victim of its own success. That's the conclusion of IBM Corp. researchers in Cambridge, who have spent nearly a decade conducting field tests at IBM and other companies about how employees work and use electronic mail. It's clear to them that e-mail has become the Internet's killer application.",39
3,Microsoft Corp. 2.0: a kinder corporate culture,"Even a genius can mess up. Bill Gates was a brilliant technologist when he cofounded Microsoft , but as he guided it to greatness in both size and historical consequence, he blundered. He terrorized underlings with his temper and parceled out praise like Scrooge gave to charity. Only the lash inspired the necessary aggressiveness to beat the competition, he thought.",40
3,Letters,"Target the abusers of legal weapons We can all share the outrage, expressed by columnist Steve Bailey (''Summer Sizzler, quot; Aug. 11), at the killings in the city's poor neighborhoods. But there's no need to share his ignorance. He argues for renewal of the so-called assault weapon ban, claiming that otherwise, ''UZIs and AK-47s could again be flooding the streets. quot; His ...",41
3,Somewhere between gleam and gloom,"President Bush has been saying that the US economy has ''turned the corner. quot; Democratic presidential candidate Senator John F. Kerry, in the wake of this month's poor jobs report, quipped that it was more like a U-turn.",42
3,Technology company sues five ex-employees ,"A Marlborough-based technology company is suing five former employees, including three senior managers, for allegedly conspiring against their employer while working on opening a competing business.",43
3,Grant to aid Lynn Central Square,"Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key area of the square, with \$830,000 in state grant money given to Lynn last week.",44
3,State grant to aid Lynn; Bank gives Salem \$10k,"Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key area of the square, with \$830,000 in state grant money given to Lynn last week.",45
3,A New Legal Chapter for a 90's Flameout,"A lawsuit against Gary Winnick, the former chief of Global Crossing, refocuses attention on what Mr. Winnick knew about his company's finances as it imploded.",46
3,"Will Russia, the Oil Superpower, Flex Its Muscles?",Russia is again emerging as a superpower - but the reason has less to do with nuclear weapons than with oil.,47
3,"Switching Titles, if Not Gears, at Dell","Kevin B. Rollins, the new chief executive of Dell, talks about Dell's transitory slip in customer service, and why he sees a broader technology recovery taking place.",48
3,For Sale: The Ultimate Status Symbol,"With the country in need of cash and rich people dying to show off their wealth, Mr. Stein proposes a unique solution: having the government sell titles of nobility.",49
3,Quality Gets Swept Away,Quality Distribution is hammered after reporting a large loss for the second quarter.,50
3,Making Your Insurer Pay,"If Hurricane Charley blows your house down, how can you make your insurance company pay?",51
3,Delightful Dell,The company's results show that it's not grim all over tech world. Just all of it that isn't Dell.,52
3,Chrysler's Bling King,"After a tough year, Detroit's troubled carmaker is back -- thanks to a maverick designer and a car that is dazzling the hip-hop crowd",53
3,What's Cool In the Pool ... ... And Hot On the Deck,Americans are spending more on tricking out the places where they swim. Here's a look at the new wave of accessories,54
3,The Age of Doom,In 1993 six geeks had a digital nightmare that changed the culture. It's about to get far creepier,55
3,Hip Hop's Online Shop,Celebrity fashion is booming. These webpreneurs are bringing it to main street,56
3,Stoking the Steamroller,No other recording artist can channel American middle-class tastes quite like Chip Davis and his best-selling band,57
3,Coming to The Rescue,Got a unique problem? Not to worry: you can find a financial planner for every specialized need,58
3,The New Customers Are In Town,"Today's customers are increasingly demanding, in Asia as elsewhere in the world.  Henry Astorga describes the complex reality faced by today's marketers, which includes much higher expectations than we have been used to.  Today's customers want performance, and they want it now! ",59
3,"Barrel of Monkeys, 2004 Edition: Notes on Philippine Elections","Well, it's election time in the Republic of the Philippines, and that means the monkeys are rolling around in those political barrels, having as much fun as they can while laughing their heads off at the strange goings-on that characterize a democratic process loosely based on the American model  but that de facto looks more like a Fellini movie crossed with a Tom and Jerry cartoon - column includes a useful election-year glossary!",60
3,Oldsmobile: The final parking lot,"Why General Motors dropped the Oldsmobile. The four brand  paradoxes GM had to face - the name, the product, image re-positioning, and the consumer - all added up to a brand that had little hope of rebranding.",61
3,"Not All Jobs Belong To The White Man: Asian Minorities, Affirmative Action, And The Quest For Parity At Work","Although a smattering of Chinese, Filipinos, Japanese, Indians, Thais, and others may crow about seeing their kind sitting in prominent positions in corporations and organizations in the USA, these accomplishments become mere cultural high-fives and ritualistic chest-thumping goaded and impishly patronized by 'mainstream society' - the milder and gentler term for the white-dominated populace.",62
3,"Downhome Pinoy Blues, Intersecting Life Paths, and Heartbreak Songs","The Blues is alive and well in the Philippines, as evidenced by this appreciation of the Pinoy Blues band 'Lampano Alley', penned by columnist Clarence Henderson as a counterpoint to his usual economics, business, and culture fare.",63
3,The Real Time Modern Manila Blues: Bill Monroe Meets Muddy Waters in the Orient,"Globalization does strange things to people. A day in the life of a Manila Philippines based business consultant - proving that you really CAN talk about Muddy Walters, bluegrass and work all on the same page...",64
3,Best Asian Tourism Destinations,"The new APMF survey of the best Asian tourism destinations has just kicked off, but it's crowded at the top, with Chiang Mai in Thailand just leading from perennial favourites Hong Kong, Bangkok and Phuket in Thailand, and Bali in  Indonesia. Be one of the first to vote and let us know your reasons.",65
3,What are the best cities for business in Asia?,"One of our new categories in the APMF Sense of Place survey is for best Asian business city. After a couple of days, Singapore leads the pack, followed by Bangkok, Thailand and Hong Kong. Enter your vote and comments and make your views count. More new categories include best city for livability, and best tourism destinations.",66
3,IT alligator tales,"I grew up in New York, where giant alligators -- sometimes more ornately described as albino alligators -- were rumored to roam the citys sewer systems. According to legend, vacationers picked up the tiny crocodilians in Florida, brought them home to New York, and eventually flushed the little buggers when they grew too big for the local concrete jungle.",67
3,IT Myth 5: Most IT projects fail,"Do most IT projects fail? Some point to the number of giant consultancies such as IBM Global Services, Capgemini, and Sapient, who feed off bad experiences encountered by enterprises. Sapient is a company founded on the realization that IT projects are not successful, says Sapient CTO Ben Gaucherin.",68
3,BEA grabs CA exec to head product group,BEA Systems Inc. has hired the Computer Associates International Inc. executive responsible for CA's Unicenter line of enterprise management software to head BEA's product development group.,69
3,Autodesk tackles project collaboration,"Autodesk  this week unwrapped an updated version of its hosted project collaboration service targeted at the construction and manufacturing industries. Autodesk Buzzsaw lets multiple, dispersed project participants -- including building owners, developers, architects, construction teams, and facility managers -- share and manage data throughout the life of a project, according to Autodesk officials.",70
3,U.K.'s NHS taps Gartner to help plan \$9B IT overhaul,"LONDON -- The U.K.'s National Health Service (NHS) has tapped IT researcher Gartner Inc. to provide market intelligence services as the health organization forges ahead with a mammoth, 5 billion (\$9.2 billion) project to upgrade its information technology infrastructure.",71
3,Play Boys: Google IPO a Go Anyway,"Even though Google's two founders gave an interview to Playboy magazine in the midst of its IPO filing, the SEC allowed the company's offering to go ahead. The boys filed the interview with the SEC and corrected mistakes in it.",72
3,More Big Boobs in Playboy,An interview with Google's co-founders due out in the current issue of Playboy may delay the company's IPO. Securities regulations restrict what executives can say while preparing to sell stock for the first time.,73
3,Dutch Firm Beats Apple to Punch,A music retailer from the Netherlands beats Apple by launching a download service in Europe's latest market battleground. Also: Movie industry wrests agreement from defunct company.... Microsoft challenges Photoshop   hellip;. and more.,74
3,HP to Buy Synstar,Hewlett-Packard will pay \$297 million for the British company. Also: TiVo goes all out to attract customers   hellip;. Sprint offers service guarantees for business wireless subscribers   hellip;. and more.,75
3,A Personal Operator From Verizon,"Verizon plans to offer a service that would act as a virtual switchboard operator, letting customers stay in touch at all times. The program would send phone calls, voicemails and e-mails wherever customers designate. By Elisa Batista.",76
3,Paid Search Growth May Slow,A new Internet advertising forecast shows a slowdown in paid search listings in the next five years. Will the projection affect Google's prospects when it goes public?,77
3,Fark Sells Out. France Surrenders,"Blogs are the hottest thing on the Net, but are they messing with traditional publishing principles? One of the most popular, Fark.com, is allegedly selling links. Is it the wave of the future? By Daniel Terdiman.",78
4,"'Madden,' 'ESPN' Football Score in Different Ways (Reuters)","Reuters - Was absenteeism a little high\on Tuesday among the guys at the office? EA Sports would like\to think it was because ""Madden NFL 2005"" came out that day,\and some fans of the football simulation are rabid enough to\take a sick day to play it.",79
4,Group to Propose New High-Speed Wireless Format (Reuters),"Reuters - A group of technology companies\including Texas Instruments Inc. (TXN.N), STMicroelectronics\(STM.PA) and Broadcom Corp. (BRCM.O), on Thursday said they\will propose a new wireless networking standard up to 10 times\the speed of the current generation.",80
4,AOL to Sell Cheap PCs to Minorities and Seniors (Reuters),Reuters - America Online on Thursday said it\plans to sell a low-priced PC targeting low-income and minority\households who agree to sign up for a year of dialup Internet\service.,81
4,Companies Approve New High-Capacity Disc Format (Reuters),"Reuters - A group of consumer electronics\makers said on Wednesday they approved the format for a new\generation of discs that can store five times the data of DVDs\at the same cost -- enough to put a full season of ""The\Sopranos"" on one disc.",82
4,Missing June Deals Slow to Return for Software Cos. (Reuters),Reuters - The mystery of what went wrong for the\software industry in late June when sales stalled at more than\20 brand-name companies is not even close to being solved\although the third quarter is nearly halfway over.,83
4,Hacker Cracks Apple's Streaming Technology (AP),AP - The Norwegian hacker famed for developing DVD encryption-cracking software has apparently struck again  #151; this time breaking the locks on Apple Computer Inc.'s wireless music streaming technology.,84
4,European Download Services Go Mobile (Reuters),Reuters - The ability to download complete\tracks directly over cell-phone networks to mobile phones is\becoming a reality in Europe.,85
4,Open Source Apps Developer SugarCRM Releases Sugar.Sales 1.1 (TechWeb),"TechWeb - News - August 13, 2004",86
4,Oracle Sales Data Seen Being Released (Reuters),"Reuters - Oracle Corp. sales documents\detailing highly confidential information, such as which\companies receive discounts on Oracle's business software\products and the size of the discounts, are likely to be made\public, a federal judge said on Friday.",87
4,Sun's Looking Glass Provides 3D View (PC World),PC World - Developers get early code for new operating system 'skin' still being crafted.,88
4,Apple to open second Japanese retail store this month (MacCentral),"MacCentral - Apple Computer Inc. will open its second Japanese retail store later this month in the western Japanese city of Osaka, it said Thursday.",89
4,Charley's Force Took Experts by Surprise (AP),AP - Hurricane Charley's 145-mph force took forecasters by surprise and showed just how shaky a science it still is to predict a storm's intensity  #151; even with all the latest satellite and radar technology.,90
4,"Science, Politics Collide in Election Year (AP)","AP - With more than 4,000 scientists, including 48 Nobel Prize winners, having signed a statement opposing the Bush administration's use of scientific advice, this election year is seeing a new development in the uneasy relationship between science and politics.",91
4,Building Dedicated to Columbia Astronauts (AP),"AP - A former dormitory converted to classrooms at the Pensacola Naval Air Station was dedicated Friday to two Columbia astronauts who were among the seven who died in the shuttle disaster Feb. 1, 2003.",92
4,Russian Cargo Craft Docks at Space Station (AP),"AP - A Russian cargo ship docked with the international space station Saturday, bringing food, water, fuel and other items to the two-man Russian-American crew, a space official said.",93
4,Bangkok's Canals Losing to Urban Sprawl (AP),"AP - Along the banks of the canal, women in rowboats grill fish and sell fresh bananas. Families eat on floating pavilions, rocked gently by waves from passing boats.",94
4,"T. Rex Had Teen Growth Spurt, Scientists Say (Reuters)","Reuters - Tyrannosaurus Rex grew incredibly fast\during a teenaged growth spurt that saw the dinosaur expand its\bulk by six times, but the fearsome beasts ""lived fast and died\young,"" researchers said on Wednesday.",95
4,Gene Blocker Turns Monkeys Into Workaholics - Study (Reuters),"Reuters - Procrastinating monkeys were turned\into workaholics using a gene treatment to block a key brain\compound, U.S. researchers reported on Wednesday.",96
4,Dolphins Too Have Born Socialites (Reuters),Reuters - Some people are born to be the life and\soul of the party -- and so it seems are some dolphins.,97
4,"What's in a Name? Well, Matt Is Sexier Than Paul (Reuters)","Reuters - As Shakespeare said, a rose by any other\name would smell as sweet. Right?",98
4,UK Scientists Allowed to Clone Human Embryos (Reuters),"Reuters - British scientists said on Wednesday\they had received permission to clone human embryos for medical\research, in what they believe to be the first such license to\be granted in Europe.",99
4,"Russian Alien Spaceship Claims Raise Eyebrows, Skepticism (SPACE.com)",SPACE.com - An expedition of Russian researchers claims to have found evidence that an \  alien spaceship had something to do with a huge explosion over Siberia in 1908. \  Experts in asteroids and comets have long said the massive blast was caused \  by a space rock.,100
4,"Comets, Asteroids and Planets around a Nearby Star (SPACE.com)","SPACE.com - A nearby star thought to harbor comets and asteroids now appears to be home to planets, too. The presumed worlds are smaller than Jupiter and could be as tiny as Pluto, new observations suggest.",101
4,Perseid Meteor Shower Peaks Overnight (SPACE.com),SPACE.com - A fine display of shooting stars is underway and peaks overnight Wednesday into early Thursday morning. Astronomers expect the 2004 Perseid meteor shower to be one of the best versions of the annual event in several years.,102
4,Redesigning Rockets: NASA Space Propulsion Finds a New Home (SPACE.com),"SPACE.com - While the exploration of the Moon and other planets in our solar system is nbsp;exciting, the first task for astronauts and robots alike is to actually nbsp;get to those destinations.",103
4,Studies Find Rats Can Get Hooked on Drugs (AP),"AP - Rats can become drug addicts. That's important to know, scientists say, and has taken a long time to prove. Now two studies by French and British researchers show the animals exhibit the same compulsive drive for cocaine as people do once they're truly hooked.",104
4,NASA Chief: 'Let's Go Save the Hubble' (SPACE.com),"SPACE.com - Amid uncertainty over the fate of the Hubble Space Telescope and with a key instrument not working, NASA Administrator Sean O'Keefe gave the go-ahead Monday for planning a robotic servicing mission.",105
4,Armadillo Aerospaces X Prize Prototype Crashes (SPACE.com),"SPACE.com - Armadillo Aerospace of Mesquite, Texas has reported a \crash last weekend of their prototype X Prize rocket.",106
4,Prairie Dog Won't Be on Endangered List (AP),AP - The black-tailed prairie dog has been dropped from a list of candidates for the federal endangered species list because scientists have concluded the rodents are no longer threatened.,107
4,Hubble Trouble: One of Four Instruments Stops Working (SPACE.com),SPACE.com - One of the four astronomical instruments on the Hubble Space Telescope shut down earlier this week and engineers are trying to pin down the problem. The other three instruments continue to operate normally.,108
4,Invasive Purple Weed May Meet Its Match (AP),"AP - They burned it, mowed it, sprayed it and flooded it. But nothing killed the purple loosestrife weed, which has become a regional plague, until officials at the Parker River National Wildlife Refuge set a European beetle loose on it.",109
4,New NASA Supercomputer to Aid Theorists and Shuttle Engineers (SPACE.com),SPACE.com - NASA researchers have teamed up with a pair of Silicon Valley firms to build \  a supercomputer that ranks alongside the world's largest Linux-based systems.,110
4,Ants Form Supercolony Spanning 60 Miles (AP),"AP - Normally clannish and agressive Argentine ants have become so laid back since arriving in Australia decades ago that they no longer fight neighboring nests and have formed a supercolony here that spans 60 miles, scientists say.",111
4,Viewer's Guide: Perseid Meteor Shower Peaks Aug. 11-12 (SPACE.com),"SPACE.com - Every August, when many \  people are vacationing in the country where skies are dark, the best-known meteor \  shower makes its appearance. The annual Perseid meteor shower, as it is called, \  promised to put on an above average display this year.",112
4,Rescuers Free Beached Whale in Brazil (AP),"AP - Rescuers succeeded in freeing a minke whale that washed up on a beach in southeastern Brazil, the fire department said Thursday.",113
4,Red-Footed Falcon Sighted in Mass. (AP),AP - A red-footed falcon spotted for the first time in North America is enticing birdwatchers to Martha's Vineyard.,114
4,Weak Version of Most Powerful Explosions Found (SPACE.com),"SPACE.com - Gamma-ray bursts are the most powerful events in the universe, temporary outshining several galaxies and likely signaling the birth of a black hole.",115
4,Simultaneous Tropical Storms a Rarity (AP),AP - The prospect that a tropical storm and a hurricane  #151; or possibly two hurricanes  #151; could strike Florida on the same day is something meteorologists say they have never seen.,116
4,NASA's Genesis Spacecraft Adjusts Course (AP),"AP - NASA's Genesis spacecraft successfully adjusted its course this week as it heads back toward Earth with a sample of solar wind particles, the space agency said Wednesday.",117
4,"Earth is Rare, New Study Suggests (SPACE.com)","SPACE.com - Flip a coin. Heads, Earth is a common sort of planet. Tails, and ours is as unusual as a coin landing on edge. That's about the state of knowledge for scientists who ponder the question of our planet's rarity.",118
4,Scientists Probe Pacific for Dead Zone (AP),"AP - His hand on a toggle switch and his eyes on a computer screen, Oregon State University graduate student Anthony Kirincich uses an array of scientific instruments to probe the vibrant waters of the Pacific. He is searching for the absence of life.",119
4,"Life on Mars Likely, Scientist Claims (SPACE.com)","SPACE.com - DENVER, COLORADO -- Those twin robots hard at work on Mars have transmitted teasing views that reinforce the prospect that microbial life may exist on the red planet.",120
4,India Rethinks Plan to Send Man to Moon (AP),"AP - India is rethinking its plan to send a man to the moon by 2015, as the mission would cost a lot of money and yield very little in return, the national space agency said Thursday.",121
4,Natural Sunblock: Sun Dims in Strange Ways (SPACE.com),"SPACE.com - When Venus crossed the Sun June 8, showing up as a clear black dot to the delight of millions of skywatchers around the world, astronomers noted something less obvious: The amount of sunlight reaching Earth dipped by 0.1 percent for a few hours.",122
4,Website Lets Users Scout the Red Planet from Home (SPACE.com),"SPACE.com - For those who want to explore Mars but cant wait for a spacecraft to take them there, NASA scientists have reformulated a website that lets the general public search data and images from previous missions.",123
4,Appeal Rejected in Trout Restoration Plan (AP),"AP - The U.S. Forest Service on Wednesday rejected environmentalists' appeal of a plan to poison a stream south of Lake Tahoe to aid what wildlife officials call ""the rarest trout in America.""",124
4,Explore the Many Colors of Stars (SPACE.com),SPACE.com - One of the pleasures of \  stargazing is noticing and enjoying the various colors that stars display in \  dark skies. These hues offer direct visual evidence of how stellar temperatures \  vary.,125
4,Britain Grants Human Cloning License (AP),"AP - Britain granted its first license for human cloning Wednesday, joining South Korea on the leading edge of stem cell research, which is restricted by the Bush administration and which many scientists believe may lead to new treatments for a range of diseases.",126
4,The Next Great Space Race: SpaceShipOne and Wild Fire to Go For the Gold (SPACE.com),SPACE.com - A piloted rocket ship race to claim a  #36;10 million Ansari X Prize purse for privately financed flight to the edge of space is heating up.,127
4,"Growth, Mortality of T. Rex Gets Clearer (AP)","AP - Here's a dinosaur finding that parents can appreciate: The teenage Tyrannosaurus rex typically went through an explosive growth spurt, gaining nearly 5 pounds a day.",128
4,Space Science Pioneer Van Allen Questions Human Spaceflight (SPACE.com),"SPACE.com - A leading space scientist has called to question the validity of human spaceflight, suggesting that sending astronauts outward from Earth is outdated, too costly, and the science returned is trivial.",129
4,China Begins Manned Space Flight Countdown (AP),"AP - Chinese astronauts are in the final stages of preparing for a manned space mission that will orbit the globe 14 times before returning to Earth, a state-run newspaper reported Thursday.",130
4,Sunspot Grows to 20 Times Size of Earth (SPACE.com),SPACE.com - A sunspot group aimed squarely \  at Earth has grown to 20 times the size of our planet and has the potential \  to unleash a major solar storm.,131
4,Japanese Lunar Probe Facing Delays (AP),"AP - A lunar orbiter that Japan had planned to launch this year could face further delays, possibly until next year or later, because of a funding shortfall and problems developing the probe's information-gathering capabilities, Japan's space agency said Wednesday.",132
4,Pollutants From Asia Appear on East Coast (AP),AP - Scientists looking into air quality and climate change have found pollutants from as far as Asia over New England and the Atlantic.,133
4,Vietnam's Citadel Vulnerable to Weather (AP),"AP - Experts from Europe and Asia surveyed 1,400-year-old relics of an ancient citadel in Hanoi Tuesday and said they were concerned the priceless antiquities were at risk from exposure to the elements.",134
4,U.S. Barred From Weakening Dolphin Rules (AP),"AP - In a victory for environmentalists, a federal judge ruled Tuesday that the Bush administration cannot change the standards commercial fisheries must meet before the tuna they catch can carry the ""dolphin-safe"" label.",135
4,Canadian Robot a Candidate to Save Hubble (AP),AP - NASA said Tuesday it is moving ahead with plans to send a robot to the rescue of the aging Hubble Space Telescope.,136
4,Cave Explorers Discover Pit in Croatia (AP),"AP - Cave explorers discovered a pit inside a mountain range in central Croatia believed to have the world's deepest subterranean vertical drop, at nearly 1,700 feet, a scientific institute reported Monday.",137
4,Aquarium Reviews Death of Dolphin (AP),AP - The chief scientist at the National Aquarium in Baltimore has launched a review of the dolphin breeding program after the death of a 4-month-old dolphin.,138
4,Scientists Seek Better Way to Measure Rain (AP),AP - Meteorologists at North Carolina State University are working on a way to more accurately measure rainfall in small areas.,139
4,Wash. State Team's Private Rocket Explodes (AP),"AP - A team taking a low-budget stab at the  #36;10 million Ansari X Prize for private manned spaceflight suffered a setback Sunday, when their rocket malfunctioned and exploded after shooting less than 1,000 feet in the air.",140
4,Nevada Ponders Superfund Status for Mine (AP),"AP - Pressured by a ranking senator from Nevada and the Environmental Protection Agency, Gov. Kenny Guinn says he might reconsider his opposition to a federal Superfund cleanup declaration for a huge abandoned mine contaminated with toxic waste and uranium.",141
4,Indictments Using DNA on Rise Nationally (AP),"AP - Authorities once had no choice but to drop rape cases if they weren't able to catch a suspect before the statute of limitations expired. But prosecutors across the country increasingly are buying themselves time, keeping cold cases alive by indicting unidentified rapists using their DNA profiles.",142
4,Southeast Coast Sees Fewer Turtle Nests (AP),"AP - About half the usual number of loggerhead turtles have nested between North Carolina and Florida this season, and scientists have no explanation for the drop.",143
4,Company Said to Be Ready to Clone Pets (AP),"AP - A company that unveiled the world's first cloned cat nearly three years ago now says it is ready to start filling orders for cloned pets, a newspaper reported Thursday.",144
4,Deep-Sea Vessel Puts Ocean Floor in Reach (AP),"AP - A new deep-sea research vessel will be able to carry people to 99 percent of the ocean floor, diving deeper than the famed Alvin that pioneered the study of seafloor vents, plate tectonics and deep ocean creatures over the past 40 years.",145
4,Chorus Frog Found Croaking in Virginia (AP),"AP - The Southern chorus frog has been found in southeastern Virginia, far outside its previously known range. The animal had never before been reported north of Beaufort County, N.C., about 125 miles to the south.",146
4,Expedition to Probe Gulf of Mexico (AP),"AP - Scientists will use advanced technology never before deployed beneath the sea as they try to discover new creatures, behaviors and phenomena in a 10-day expedition to the Gulf of Mexico's deepest reaches.",147
4,Feds Accused of Exaggerating Fire Impact (AP),"AP - The Forest Service exaggerated the effect of wildfires on California spotted owls in justifying a planned increase in logging in the Sierra Nevada, according to a longtime agency expert who worked on the plan.",148
4,New Method May Predict Quakes Weeks Ahead (AP),"AP - Swedish geologists may have found a way to predict earthquakes weeks before they happen by monitoring the amount of metals like zinc and copper in subsoil water near earthquake sites, scientists said Wednesday.",149
4,Marine Expedition Finds New Species (AP),AP - Norwegian scientists who explored the deep waters of the Atlantic Ocean said Thursday their findings  #151; including what appear to be new species of fish and squid  #151; could be used to protect marine ecosystems worldwide.,150
4,Annual Study Finds Rise in Beach Closures (AP),"AP - The number of days that beaches closed or posted warnings because of pollution rose sharply in 2003 due to more rainfall, increased monitoring and tougher standards, an environmental group said on Thursday.",151
4,Pacific May Be Seeing New El Nino (AP),AP - Warming water temperatures in the central equatorial Pacific last month may indicate the start of a new El Nino.,152
